Hours,Sleep,Attendance,Previous_Score,Internet,Gender,Marks
1,5,79,78,No,Female,58
8,9,79,84,No,Female,100
9,7,88,45,Yes,Female,100
10,6,61,45,Yes,Male,100
5,8,62,88,Yes,Female,93
8,6,71,77,No,Female,93
8,6,86,61,No,Male,92
6,7,91,58,No,Male,89
2,6,76,60,Yes,Female,68
1,9,94,69,No,Male,69
9,6,99,88,No,Female,100
4,6,95,48,No,Female,75
2,4,100,78,Yes,Male,72
9,4,95,66,Yes,Male,99
8,4,69,71,No,Female,91
8,7,75,69,Yes,Female,98
10,8,68,95,Yes,Female,100
6,8,77,92,Yes,Female,99
10,8,91,95,Yes,Female,100
8,6,81,75,No,Female,98
4,9,75,76,No,Male,84
1,6,90,85,No,Female,74
3,7,62,48,No,Male,63
2,8,89,40,Yes,Female,70
3,4,90,90,No,Female,81
7,9,65,94,No,Female,100
8,8,62,79,Yes,Male,100
5,5,65,67,Yes,Male,80
3,9,79,97,Yes,Male,90
1,6,82,63,No,Male,58
9,7,96,83,Yes,Male,100
2,8,84,79,Yes,Female,82
3,5,89,80,No,Female,74
1,7,78,83,Yes,Male,73
6,8,79,80,No,Female,96
5,5,84,94,No,Male,87
7,8,82,76,No,Female,93
7,6,60,76,Yes,Female,91
4,8,82,54,Yes,Female,83
3,9,66,97,Yes,Female,88
1,8,83,86,Yes,Male,74
6,9,86,51,Yes,Male,93
6,8,92,98,No,Male,100
8,6,81,91,Yes,Female,100
3,5,85,94,No,Male,80
1,6,94,47,No,Female,62
5,8,84,92,No,Male,99
4,7,61,79,No,Male,82
2,9,89,98,No,Female,81
3,4,62,59,No,Male,55
4,8,68,64,No,Female,80
9,7,97,87,Yes,Female,100
2,7,99,66,No,Male,72
4,7,88,100,Yes,Female,90
6,8,82,43,No,Female,80
2,7,65,82,Yes,Male,67
6,5,68,90,Yes,Male,94
4,8,73,92,Yes,Female,86
10,4,77,94,Yes,Male,100
5,5,67,82,Yes,Male,78
6,5,97,60,Yes,Male,87
1,5,86,73,Yes,Male,67
8,6,92,77,Yes,Female,100
4,8,62,86,No,Female,87
1,4,90,94,No,Female,73
2,7,88,44,Yes,Female,68
3,4,68,57,No,Female,64
9,6,89,72,No,Male,100
9,9,73,67,No,Male,100
6,7,85,66,Yes,Female,92
6,9,76,63,Yes,Female,88
2,4,65,67,Yes,Female,58
9,4,97,75,No,Male,100
6,9,87,95,Yes,Female,100
